6_investors,Country/Town,"Deals Information, Level of Completeness",Disclosed ,Founded,Total  Disclosed Funding,DA Classification_African Company (Yes = 0; No = 1),Year,Month,Quarter,Half,Number of Investors,main_sector_encoded,funding_round_encoded,cat_Country
Undisclosed,South Africa,0.9,1.0,2016.0,3220000.0,0.0,2018.0,9.0,3.0,2.0,1.0,6,3,23
Ground Squirrel Ventures,Madagascar,0.9,0.0,2018.0,0.0,0.0,2018.0,10.0,4.0,2.0,1.0,10,1,12
"Precursor Ventures, CRE Venture Capital, Pipeline Angels, Metis Investments, Christopher Isaacs",South Africa,0.9,1.0,2014.0,980000.0,0.0,2018.0,10.0,4.0,2.0,5.0,15,1,23
"UGFS, Intilaq",Tunisia,0.9,1.0,2016.0,408000.0,0.0,2018.0,10.0,4.0,2.0,2.0,5,1,25
Saviu Ventures,Kenya,0.8,1.0,2018.0,200000.0,0.0,2018.0,10.0,4.0,2.0,1.0,12,1,10
Savour Ventures,Egypt,0.9,1.0,2016.0,100000.0,0.0,2018.0,10.0,4.0,2.0,1.0,5,1,5
Algebra Ventures,Egypt,0.9,1.0,2016.0,600000.0,0.0,2018.0,10.0,4.0,2.0,1.0,4,3,5
Undisclosed,Egypt,0.9,0.0,2015.0,0.0,0.0,2018.0,10.0,4.0,2.0,1.0,8,1,5
PeaceTech Accelerator,Ghana,0.9,0.0,2018.0,0.0,0.0,2018.0,10.0,4.0,2.0,1.0,10,1,8
Undisclosed,South Africa,0.9,1.0,2015.0,700000.0,0.0,2018.0,10.0,4.0,2.0,1.0,10,1,23
UN Women,Uganda,0.9,1.0,2015.0,1510000.0,0.0,2018.0,10.0,4.0,2.0,1.0,12,2,26
Newtown Partners,South Africa,0.9,1.0,2015.0,1000000.0,0.0,2018.0,10.0,4.0,2.0,1.0,4,1,23
Microtraction,Nigeria,0.9,0.0,2015.0,75000.0,0.0,2018.0,10.0,4.0,2.0,1.0,1,1,19
GreenTec Capital Partners,Nigeria,0.9,0.0,2017.0,0.0,0.0,2018.0,10.0,4.0,2.0,1.0,10,1,19
Alphabit Fund,South Africa,0.9,1.0,2015.0,3920000.0,0.0,2018.0,10.0,4.0,2.0,1.0,1,1,23
Global Innovation Fund,Uganda,0.9,1.0,2014.0,20000.0,0.0,2018.0,10.0,4.0,2.0,1.0,12,2,26
RippleWorks,Zambia,0.9,0.0,2009.0,19500000.0,0.0,2018.0,10.0,4.0,2.0,1.0,1,17,29
Ventures Platform,Nigeria,0.9,0.0,2018.0,210000.0,0.0,2018.0,10.0,4.0,2.0,1.0,1,13,19
Trace,Mauritius,1.0,0.0,2015.0,3100000.0,0.0,2018.0,10.0,4.0,2.0,1.0,5,18,15
SAB Foundation,South Africa,0.9,1.0,2015.0,890000.0,0.0,2018.0,10.0,4.0,2.0,1.0,7,2,23
HAVAIC,South Africa,0.9,0.0,2014.0,0.0,0.0,2018.0,10.0,4.0,2.0,1.0,7,1,23
Yellowwoods,South Africa,0.9,0.0,2015.0,0.0,0.0,2018.0,10.0,4.0,2.0,1.0,1,1,23
Undisclosed,Egypt,0.9,1.0,2017.0,200000.0,0.0,2018.0,10.0,4.0,2.0,1.0,10,12,5
Greenlight Reinsurance,South Africa,0.9,0.0,2016.0,0.0,0.0,2018.0,10.0,4.0,2.0,1.0,1,3,23
SOSV,Rwanda,0.9,0.0,2015.0,131000.0,0.0,2018.0,10.0,4.0,2.0,1.0,10,1,20
GreenTec Capital Partners,Namibia,0.9,0.0,2015.0,0.0,0.0,2018.0,10.0,4.0,2.0,1.0,6,1,18
Nexus Ventures,South Africa,0.9,0.0,2017.0,0.0,0.0,2018.0,10.0,4.0,2.0,1.0,1,1,23
Department for International Development (DFID),South Africa,0.9,1.0,2018.0,1400000.0,0.0,2018.0,10.0,4.0,2.0,1.0,8,2,23
Mastercard Foundation Fund for Rural Prosperity,Kenya,0.9,1.0,2015.0,1600000.0,0.0,2018.0,10.0,4.0,2.0,1.0,14,2,10
Mastercard Foundation Fund for Rural Prosperity,Ghana,0.9,1.0,2012.0,742000.0,0.0,2018.0,10.0,4.0,2.0,1.0,14,2,8
Microtraction,Nigeria,0.9,1.0,2016.0,15000.0,0.0,2018.0,10.0,4.0,2.0,1.0,1,1,19
"LUN Partners Group, Goodwell Investments, FSD Africa, Equator Capital Partners",South Africa,0.9,1.0,2010.0,14000000.0,0.0,2018.0,10.0,4.0,2.0,4.0,1,6,23
500 Startups,Nigeria,0.9,1.0,2016.0,620000.0,0.0,2018.0,10.0,4.0,2.0,1.0,14,1,19
GSMA Ecosystem Accelerator,Kenya,0.9,0.0,2011.0,0.0,0.0,2018.0,11.0,4.0,2.0,1.0,3,2,10
GSMA Ecosystem Accelerator,Cameroon,0.9,0.0,2013.0,0.0,0.0,2018.0,11.0,4.0,2.0,1.0,12,2,4
GSMA Ecosystem Accelerator,Benin,0.9,0.0,2016.0,0.0,0.0,2018.0,11.0,4.0,2.0,1.0,12,2,2
Undisclosed,Rwanda,0.9,0.0,2018.0,0.0,0.0,2018.0,11.0,4.0,2.0,1.0,5,12,20
Skywell Capital,South Africa,0.9,1.0,2017.0,4300000.0,0.0,2018.0,11.0,4.0,2.0,1.0,1,1,23
Id4 ventures,Ivory Coast,0.9,1.0,2012.0,1069000.0,0.0,2018.0,11.0,4.0,2.0,1.0,5,1,9
Undisclosed,Mauritius,0.9,1.0,2013.0,167000.0,0.0,2018.0,11.0,4.0,2.0,1.0,8,1,15
"Chinook Capital, Co-creation Hub Nigeria",Nigeria,0.9,1.0,2016.0,191500.0,0.0,2018.0,11.0,4.0,2.0,2.0,3,1,19
500 Startups,Nigeria,0.9,1.0,2016.0,620000.0,0.0,2018.0,11.0,4.0,2.0,1.0,14,1,19
GreenTec Capital Partners,Kenya,0.9,0.0,2015.0,0.0,0.0,2018.0,11.0,4.0,2.0,1.0,16,1,10
Knife Capital,South Africa,0.9,0.0,2015.0,0.0,0.0,2018.0,11.0,4.0,2.0,1.0,12,3,23
Ingressive Capital,Nigeria,0.9,0.0,2017.0,0.0,0.0,2018.0,11.0,4.0,2.0,1.0,10,12,19
"EchoVC Partners, Kima Ventures, Founders Factory, Burda Principle Investments, First Minute Capital",Kenya,0.9,1.0,2014.0,2510000.0,0.0,2018.0,11.0,4.0,2.0,5.0,3,1,10
GreenTec Capital Partners,Kenya,0.9,0.0,2015.0,250000.0,0.0,2018.0,11.0,4.0,2.0,1.0,2,1,10
Draper Richards Kaplan Foundation,Ghana,0.9,1.0,2016.0,420000.0,0.0,2018.0,11.0,4.0,2.0,1.0,14,1,8
Undisclosed,Nigeria,0.9,1.0,2018.0,1400.0,0.0,2018.0,11.0,4.0,2.0,1.0,6,12,19
Sompo Holdings,Kenya,0.9,1.0,2013.0,14970000.0,0.0,2018.0,11.0,4.0,2.0,1.0,1,6,10
Trace,Mauritius,0.9,0.0,2015.0,3100000.0,0.0,2018.0,11.0,4.0,2.0,1.0,5,17,15
"International Finance Corporation, 1776 Ventures, Wamda Capital, TLcom Capital Partners, DOB Equity",Kenya,0.9,1.0,2013.0,40350000.0,0.0,2018.0,11.0,4.0,2.0,5.0,5,6,10
Endure Capital,Egypt,0.9,1.0,2017.0,700000.0,0.0,2018.0,11.0,4.0,2.0,1.0,5,1,5
"Kalon Venture Partners, Compass Capital",South Africa,0.9,1.0,2016.0,563000.0,0.0,2018.0,11.0,4.0,2.0,2.0,1,1,23
Fall Armyworm Tech Prize,Kenya,0.9,1.0,2016.0,150000.0,0.0,2018.0,11.0,4.0,2.0,1.0,14,2,10
Genesys Tech Hub,Nigeria,0.9,1.0,2018.0,15000.0,0.0,2018.0,11.0,4.0,2.0,1.0,8,1,19
Fall Armyworm Tech Prize,Ghana,0.9,1.0,2013.0,50000.0,0.0,2018.0,11.0,4.0,2.0,1.0,6,2,8
Fall Armyworm Tech Prize,Nigeria,0.9,1.0,2010.0,50000.0,0.0,2018.0,11.0,4.0,2.0,1.0,6,2,19
Fall Armyworm Tech Prize,Ghana,0.9,1.0,2012.0,742000.0,0.0,2018.0,11.0,4.0,2.0,1.0,14,2,8
HIMAngel,Egypt,0.9,1.0,2016.0,100000.0,0.0,2018.0,11.0,4.0,2.0,1.0,4,1,5
Fall Armyworm Tech Prize,Uganda,0.9,1.0,2014.0,75000.0,0.0,2018.0,11.0,4.0,2.0,1.0,14,2,26
IBM,South Africa,0.9,1.0,2018.0,34000.0,0.0,2018.0,11.0,4.0,2.0,1.0,8,2,23
"BECO Capital, Raed Ventures, Silicon Badia, Arzan Venture Capital",Egypt,0.9,1.0,2017.0,80500000.0,0.0,2018.0,11.0,4.0,2.0,4.0,10,6,5
Gray Matters Capital,Nigeria,0.9,1.0,2015.0,250000.0,0.0,2018.0,11.0,4.0,2.0,1.0,12,1,19
"Justin Drennan, Frederik Gerner, Bas Hochstenbach",South Africa,0.9,1.0,2017.0,70000.0,0.0,2018.0,11.0,4.0,2.0,3.0,3,1,23
European Investment Bank (EIB),Kenya,0.9,1.0,1999.0,40000000.0,0.0,2018.0,11.0,4.0,2.0,1.0,13,5,10
Flat6Labs,Cameroon,0.9,1.0,2018.0,51000.0,0.0,2018.0,11.0,4.0,2.0,1.0,4,1,4
Optimizer Foundation,Rwanda,0.9,1.0,2016.0,150000.0,0.0,2018.0,11.0,4.0,2.0,1.0,5,1,20
Optimizer Foundation,Kenya,0.9,1.0,2013.0,100000.0,0.0,2018.0,11.0,4.0,2.0,1.0,3,1,10
Motorola Solutions Foundation,Kenya,0.9,0.0,2010.0,0.0,0.0,2018.0,11.0,4.0,2.0,1.0,3,2,10
GreenTec Capital Partners,Ivory Coast,0.9,0.0,2017.0,0.0,0.0,2018.0,11.0,4.0,2.0,1.0,8,1,9
Smartcall,South Africa,0.9,1.0,2016.0,720000.0,0.0,2018.0,11.0,4.0,2.0,1.0,4,1,23
Google Impact Challenge Nigeria,Nigeria,0.9,1.0,2013.0,250000.0,0.0,2018.0,11.0,4.0,2.0,1.0,12,2,19
Google Impact Challenge Kenya,Kenya,0.9,1.0,2015.0,250000.0,0.0,2018.0,11.0,4.0,2.0,1.0,14,2,10
Undisclosed,Rwanda,0.9,1.0,2017.0,150000.0,0.0,2018.0,11.0,4.0,2.0,1.0,10,1,20
Google Impact Challenge Nigeria,Nigeria,0.9,1.0,2015.0,165000.0,0.0,2018.0,11.0,4.0,2.0,1.0,3,2,19
Google Impact Challenge Kenya,Kenya,0.9,1.0,2016.0,125000.0,0.0,2018.0,11.0,4.0,2.0,1.0,3,2,10
Google Impact Challenge Kenya,Kenya,0.9,1.0,2016.0,125000.0,0.0,2018.0,11.0,4.0,2.0,1.0,14,2,10
Google Impact Challenge Nigeria,Nigeria,0.9,1.0,2018.0,125000.0,0.0,2018.0,11.0,4.0,2.0,1.0,9,2,19
Itanna Accelerator,Nigeria,0.9,1.0,2015.0,75000.0,0.0,2018.0,11.0,4.0,2.0,1.0,1,1,19
Itanna Accelerator,Nigeria,0.9,1.0,2017.0,25000.0,0.0,2018.0,11.0,4.0,2.0,1.0,1,1,19
Itanna Accelerator,Nigeria,0.9,1.0,2017.0,25000.0,0.0,2018.0,11.0,4.0,2.0,1.0,22,1,19
Itanna Accelerator,Nigeria,0.9,1.0,2018.0,25000.0,0.0,2018.0,11.0,4.0,2.0,1.0,5,1,19
Undisclosed,Nigeria,0.9,1.0,2018.0,10000.0,0.0,2018.0,12.0,4.0,2.0,1.0,4,12,19
Shenai Bridglall,South Africa,0.9,1.0,2018.0,2132.0,0.0,2018.0,12.0,4.0,2.0,1.0,5,12,23
Undisclosed,Nigeria,0.9,1.0,2018.0,3424.0,0.0,2018.0,12.0,4.0,2.0,1.0,6,12,19
"Battery Road Digital Holdings, Algebra Ventures",Egypt,0.9,1.0,2017.0,6909000.0,0.0,2018.0,12.0,4.0,2.0,2.0,10,3,5
"Yellowwoods, Hollard Insurance",South Africa,0.9,1.0,2016.0,3600000.0,0.0,2018.0,12.0,4.0,2.0,2.0,1,3,23
Kuramo Capital,Kenya,0.9,0.0,2016.0,550000.0,0.0,2018.0,12.0,4.0,2.0,1.0,1,3,10
Vision Ventures,Egypt,0.9,0.0,2016.0,417000.0,0.0,2018.0,12.0,4.0,2.0,1.0,10,1,5
"Nedbank, Sanari Capital, Convergence Partners",South Africa,0.9,1.0,2012.0,4000000.0,0.0,2018.0,12.0,4.0,2.0,3.0,6,3,23
"International Finance Corporation, Y Combinator, TLcom Capital Partners",Nigeria,0.9,1.0,2017.0,37320000.0,0.0,2018.0,12.0,4.0,2.0,3.0,10,3,19
International Finance Corporation,Egypt,0.9,1.0,2012.0,23500000.0,0.0,2018.0,12.0,4.0,2.0,1.0,12,8,5
Technology Innovation Agency,South Africa,0.9,1.0,2015.0,152000.0,0.0,2018.0,12.0,4.0,2.0,1.0,6,2,23
Technology Innovation Agency,South Africa,0.9,1.0,2012.0,41000.0,0.0,2018.0,12.0,4.0,2.0,1.0,12,2,23
"Averroes Ventures, Egypt Ventures, 500 Startups, Endure Capital, Alex Angels",Egypt,0.9,1.0,2014.0,2150000.0,0.0,2018.0,12.0,4.0,2.0,5.0,12,1,5
UNICEF Innovation Fund,Tunisia,0.9,1.0,2013.0,100000.0,0.0,2018.0,12.0,4.0,2.0,1.0,6,2,25
Y Combinator,Tanzania,0.9,1.0,2017.0,420000.0,0.0,2018.0,12.0,4.0,2.0,1.0,1,1,24
TechCrunch Startup Battlefield Africa,Uganda,0.9,1.0,2017.0,75000.0,0.0,2018.0,12.0,4.0,2.0,1.0,12,2,26
Odey Asset Management,South Africa,0.9,1.0,2014.0,91700000.0,0.0,2018.0,12.0,4.0,2.0,1.0,1,6,23
Omar Barakat,Egypt,0.9,1.0,2018.0,180000.0,0.0,2018.0,12.0,4.0,2.0,1.0,6,1,5
African Entrepreneurship Award,Namibia,0.9,1.0,2013.0,150000.0,0.0,2018.0,12.0,4.0,2.0,1.0,3,2,18
African Entrepreneurship Award,Senegal,0.9,1.0,2018.0,100000.0,0.0,2018.0,12.0,4.0,2.0,1.0,5,2,21
African Entrepreneurship Award,Uganda,0.9,1.0,2016.0,100000.0,0.0,2018.0,12.0,4.0,2.0,1.0,10,2,26
Undisclosed,Nigeria,0.9,1.0,2018.0,560000.0,0.0,2018.0,12.0,4.0,2.0,1.0,10,1,19
African Entrepreneurship Award,France,0.9,1.0,2017.0,25000.0,1.0,2018.0,12.0,4.0,2.0,1.0,12,2,7
African Entrepreneurship Award,Ghana,0.9,1.0,2017.0,25000.0,0.0,2018.0,12.0,4.0,2.0,1.0,3,2,8
"ISAI,  Seventure Partners",Tunisia,0.9,1.0,2014.0,4500000.0,0.0,2018.0,12.0,4.0,2.0,2.0,1,3,25
"AHL Venture Partners, Small Foundation , Jordan Engineering",Zambia,0.9,1.0,2010.0,2170000.0,0.0,2018.0,12.0,4.0,2.0,3.0,14,1,29
"GSMA Ecosystem Accelerator, Seedstars",Ghana,0.9,1.0,2016.0,1150000.0,0.0,2018.0,12.0,4.0,2.0,2.0,14,1,8
Fintec Ventures,South Africa,0.9,1.0,2015.0,6397000.0,0.0,2018.0,12.0,4.0,2.0,1.0,1,6,23
Absa Bank,South Africa,0.9,1.0,2015.0,6397000.0,0.0,2018.0,12.0,4.0,2.0,1.0,1,2,23
Undisclosed,Ethiopia,0.9,1.0,2016.0,126480.0,0.0,2018.0,12.0,4.0,2.0,1.0,8,2,6
Undisclosed,Ethiopia,0.9,1.0,2012.0,200000.0,0.0,2018.0,12.0,4.0,2.0,1.0,19,2,6
Undisclosed,South Africa,0.9,0.0,2016.0,0.0,0.0,2018.0,12.0,4.0,2.0,1.0,7,1,23
Undisclosed,Tanzania,0.9,1.0,2016.0,2400000.0,0.0,2018.0,12.0,4.0,2.0,1.0,6,3,24
Undisclosed,Nigeria,0.9,1.0,2018.0,2777.0,0.0,2018.0,12.0,4.0,2.0,1.0,18,12,19
Pernod Ricard,Nigeria,0.9,1.0,2012.0,885400000.0,0.0,2018.0,12.0,4.0,2.0,1.0,5,18,19
Kairos,Nigeria,0.9,1.0,2017.0,185000.0,0.0,2018.0,12.0,4.0,2.0,1.0,1,1,19
Mastercard Foundation Fund for Rural Prosperity,Kenya,0.9,1.0,2014.0,1158000.0,0.0,2018.0,12.0,4.0,2.0,1.0,14,2,10
LSE Generate,Uganda,0.9,1.0,2017.0,255000.0,0.0,2018.0,12.0,4.0,2.0,1.0,1,12,26
The Carlyle Group,Nigeria,0.9,1.0,2008.0,40000000.0,0.0,2018.0,12.0,4.0,2.0,1.0,15,9,19
Villgro Kenya,Kenya,0.9,1.0,2016.0,40000.0,0.0,2018.0,12.0,4.0,2.0,1.0,12,2,10
Villgro Kenya,Kenya,0.9,1.0,2018.0,100000.0,0.0,2018.0,12.0,4.0,2.0,1.0,1,2,10
